trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.95}",20,11,-52.67217529679778,"{0: 4, 1: 0, 2: 4, 3: 1, 4: 0}",1
2,False,"{'a': 0.01, 'e': 0.8999999999999999}",25,0,-122.26080532023951,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.8499999999999999}",30,0,-82.05715571236223,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.7999999999999998}",20,0,-79.95865763712322,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.7499999999999998}",20,0,27.201367875736118,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.6999999999999997}",25,15,-50.830063138939366,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.01, 'e': 0.6499999999999997}",35,0,-136.15862840286877,"{0: 26, 1: 1, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.5999999999999996}",30,0,-155.45366921390527,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.5499999999999996}",30,21,-7.5828097495758096,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.4999999999999996}",25,0,-66.76682115824906,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.4499999999999996}",25,0,-168.68468285491053,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
12,False,"{'a': 0.01, 'e': 0.39999999999999963}",20,1,-107.34324387119115,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
13,False,"{'a': 0.01, 'e': 0.34999999999999964}",25,0,-32.222323071608315,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.29999999999999966}",30,0,-182.09757910894578,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
15,False,"{'a': 0.01, 'e': 0.24999999999999967}",20,0,-115.72958379729249,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.19999999999999968}",30,0,-228.38015203244055,"{0: 16, 1: 2, 2: 6, 3: 3, 4: 3}",0
17,False,"{'a': 0.01, 'e': 0.1499999999999997}",20,0,-66.72611601562866,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.09999999999999969}",25,0,-145.5730935205326,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.049999999999999684}",25,7,-112.8184354513481,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 2}",1
20,False,"{'a': 0.01, 'e': -3.191891195797325e-16}",25,0,-148.94005521988166,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-77.25659957485091,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-150.38545189400554,"{0: 9, 1: 0, 2: 8, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-181.08521896611967,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-55.445548310720284,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-61.571976116089104,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-219.1181502071172,"{0: 13, 1: 7, 2: 6, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",25,0,-100.01561115473442,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,9,-95.40718147739642,"{0: 12, 1: 1, 2: 5, 3: 3, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-142.19200387589015,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,0,-167.2749465745646,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
